Date,GOOG,AAPL,META,BABA,AMZN,GE,AMD,WMT,BAC,GM,T,UAA,SHLD,XOM,RRC,BBY,MA,PFE,JPM,SBUX
1990-01-02,,0.2614985704421997,,,,11.373269081115723,4.125,1.1884865760803223,4.358846187591553,,1.3771740198135376,,,3.7972609996795654,3.2651054859161377,0.13298097252845764,,0.916300892829895,3.2540621757507324,
1990-01-03,,0.26325345039367676,,,,11.351966857910156,4.0,1.1884865760803223,4.3939032554626465,,1.3532460927963257,,,3.7592885494232178,3.2651054859161377,0.1489388644695282,,0.9195276498794556,3.3625290393829346,
1990-01-04,,0.26413166522979736,,,,11.288081169128418,3.9375,1.1821810007095337,4.300415992736816,,1.3421560525894165,,,3.7213168144226074,3.2651054859161377,0.14627954363822937,,0.9340466260910034,3.3760907649993896,
1990-01-05,,0.2650091350078583,,,,11.181587219238281,3.8125,1.1695713996887207,4.206927299499512,,1.2774733304977417,,,3.70232892036438,3.2651054859161377,0.14627954363822937,,0.9259799718856812,3.3896472454071045,
1990-01-08,,0.2667640745639801,,,,11.245488166809082,3.8125,1.185333490371704,4.2303009033203125,,1.2990341186523438,,,3.7592885494232178,3.2651054859161377,0.13564078509807587,,0.917914092540741,3.3896472454071045,
1990-01-09,,0.26413166522979736,,,,11.011211395263672,3.875,1.1538090705871582,4.2303009033203125,,1.2693885564804077,,,3.683345079421997,3.2651054859161377,0.13564078509807587,,0.8985558152198792,3.281179666519165,
1990-01-10,,0.2527240216732025,,,,11.03250503540039,3.8125,1.1538090705871582,4.148499488830566,,1.234351634979248,,,3.70232892036438,3.2651054859161377,0.13298097252845764,,0.9146870374679565,3.2676217555999756,
1990-01-11,,0.24219371378421783,,,,11.03250503540039,3.875,1.1664187908172607,4.113442420959473,,1.2451324462890625,,,3.7213168144226074,3.2651054859161377,0.1303216964006424,,0.9050089120864868,3.226945638656616,
1990-01-12,,0.24219371378421783,,,,10.755627632141113,3.75,1.1222845315933228,3.9965827465057373,,1.2074010372161865,,,3.6263840198516846,3.2651054859161377,0.12766186892986298,,0.88887619972229,3.199827194213867,
1990-01-15,,0.24043889343738556,,,,10.670430183410645,3.625,1.1065222024917603,3.8797245025634766,,1.188535213470459,,,3.6738498210906982,3.2651054859161377,0.1303216964006424,,0.8872632384300232,3.199827194213867,
1990-01-16,,0.24482618272304535,,,,10.776925086975098,3.9375,1.1254370212554932,4.019954204559326,,1.2127912044525146,,,3.654862880706787,3.2651054859161377,0.13298097252845764,,0.896942675113678,3.186269998550415,
1990-01-17,,0.23341840505599976,,,,10.734323501586914,3.8125,1.1128275394439697,4.0433268547058105,,1.1804498434066772,,,3.5979061126708984,3.2651054859161377,0.13298097252845764,,0.896942675113678,3.1727116107940674,
1990-01-18,,0.2272762656211853,,,,10.840821266174316,3.8125,1.0939120054244995,3.9848945140838623,,1.2020103931427002,,,3.6453700065612793,3.2651054859161377,0.1303216964006424,,0.9114618897438049,3.1455934047698975,
1990-01-19,,0.24043889343738556,,,,11.053802490234375,3.75,1.0970643758773804,4.136813640594482,,1.2074010372161865,,,3.692836046218872,3.2651054859161377,0.13830067217350006,,0.909848153591156,3.13203501701355,
1990-01-22,,0.23341840505599976,,,,10.713028907775879,3.75,1.0686917304992676,4.066697120666504,,1.1723648309707642,,,3.5694243907928467,3.2651054859161377,0.13564078509807587,,0.8953289985656738,3.0371243953704834,
1990-01-23,,0.23692823946475983,,,,10.691720962524414,3.6875,1.0686917304992676,4.148499488830566,,1.1804498434066772,,,3.578918695449829,3.2651054859161377,0.1489388644695282,,0.8840369582176208,2.9557743072509766,
1990-01-24,,0.23868313431739807,,,,10.776925086975098,3.8125,1.0749975442886353,4.1017537117004395,,1.188535213470459,,,3.5694243907928467,3.2651054859161377,0.14627954363822937,,0.8921023011207581,2.969332218170166,
1990-01-25,,0.2395613044500351,,,,10.56393814086914,3.8125,1.0560822486877441,4.09006929397583,,1.150803804397583,,,3.493478775024414,3.2651054859161377,0.1489388644695282,,0.8791970014572144,2.942214250564575,
1990-01-26,,0.2299085110425949,,,,10.649131774902344,3.6875,1.0623879432678223,4.019954204559326,,1.1400234699249268,,,3.550438404083252,3.2651054859161377,0.14627954363822937,,0.8743571639060974,2.8744211196899414,
1990-01-29,,0.23341840505599976,,,,10.521343231201172,3.6875,1.0686917304992676,3.9732108116149902,,1.1373287439346313,,,3.5694243907928467,3.2651054859161377,0.14627954363822937,,0.8840369582176208,2.806628942489624,
1990-01-30,,0.23868313431739807,,,,10.521343231201172,3.625,1.059234619140625,3.821293592453003,,1.126548171043396,,,3.5694243907928467,3.2651054859161377,0.14361974596977234,,0.8743571639060974,2.7388360500335693,
1990-01-31,,0.23868313431739807,,,,10.606535911560059,3.625,1.0749975442886353,3.926466941833496,,1.1400234699249268,,,3.5694243907928467,3.2651054859161377,0.14627954363822937,,0.8840369582176208,2.7930703163146973,
1990-02-01,,0.2360507994890213,,,,10.521343231201172,3.625,1.0623879432678223,3.868037223815918,,1.1588894128799438,,,3.5694243907928467,3.2651054859161377,0.15159864723682404,,0.8904892802238464,2.820187568664551,
1990-02-02,,0.24043889343738556,,,,10.521343231201172,3.5,1.059234619140625,4.008267879486084,,1.1723648309707642,,,3.635876417160034,3.2651054859161377,0.15159864723682404,,0.8953289985656738,2.8337454795837402,
1990-02-05,,0.24570362269878387,,,,10.521343231201172,3.5625,1.0529296398162842,3.926466941833496,,1.188535213470459,,,3.6453700065612793,3.2651054859161377,0.1569177806377411,,0.9015125632286072,2.820187568664551,
